f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,output
-0.673697,222.248,-1.8784,115.416,545.099,654.901,586.924,613.076,100.0,100.0,-0.673697,300.0,-1.89327,99.4447,560.78,639.22,583.495,616.505,100.0,100.0,-0.68286,300.0,-1.863,83.5199,575.119,624.881,576.038,623.962,100.0,100.0,-0.688969,179.487,-1.80763,76.9745,580.272,619.728,570.039,629.961,100.0,100.0,-0.688969,136.019,-1.73163,77.0507,579.042,620.958,564.318,635.682,100.0,100.0,-0.688969,159.251,-1.64508,76.6163,578.693,621.307,557.665,642.335,100.0,100.0,-0.688969,187.276,-1.54411,76.7636,578.362,621.638,549.931,650.069,100.0,100.0,-0.688969,228.051,-1.40532,76.9964,579.153,620.847,539.296,660.704,100.0,100.0,-0.692023,280.458,-1.24326,76.8897,582.296,617.704,527.243,672.757,100.0,100.0,-0.747001,296.051,-1.0667,76.7061,587.933,612.067,514.929,685.071,100.0,100.0,-1.0667
-0.835577,35.6609,1.87932,175.678,595.605,604.395,465.387,734.613,100.0,100.0,-0.835577,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,100.0,100.0,-0.835577,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,100.0,100.0,-0.835577,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,100.0,100.0,-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,1.87932
-1.30636,0.0,1.87932,175.678,595.605,604.395,465.387,734.613,98.0364,100.0,-1.30636,28.2108,1.85039,175.532,596.938,603.062,460.482,739.518,95.5818,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,95.5818,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,94.4036,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,94.4036,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,94.4036,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,94.4036,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,94.4036,100.0,-1.24002,0.0,1.85039,175.532,596.938,603.062,460.482,739.518,94.4036,100.0,-1.24002,105.611,1.87365,175.37,595.611,604.389,464.345,735.655,94.4036,100.0,1.87365
-1.49271,152.34,1.95994,177.417,592.375,607.625,479.352,720.648,90.5746,100.0,-1.49271,223.85,1.95994,177.417,592.375,607.625,479.352,720.648,90.5746,100.0,-1.49271,277.879,1.95994,177.417,592.375,607.625,479.352,720.648,90.5746,100.0,-1.49271,59.5506,1.96499,177.708,592.301,607.699,480.292,719.708,90.5746,100.0,-1.50491,582.732,1.97627,152.495,568.353,631.647,472.194,727.806,89.3473,100.0,-1.44107,142.931,1.98001,145.644,561.841,638.159,469.992,730.008,89.3473,100.0,-1.42873,0.0,1.98045,144.888,561.122,638.878,469.749,730.251,89.3473,100.0,-1.42746,0.0,1.98045,144.888,561.122,638.878,469.749,730.251,89.3473,100.0,-1.42746,0.0,1.98045,144.888,561.122,638.878,469.749,730.251,89.3473,100.0,-1.42746,0.0,1.98045,144.888,561.122,638.878,469.749,730.251,89.3473,100.0,1.98045
-1.46259,0.0,1.94694,177.01,592.857,607.143,477.063,722.937,86.8927,100.0,-1.46259,0.0,1.94694,177.01,592.857,607.143,477.063,722.937,86.8927,100.0,-1.46259,0.0,1.94694,177.01,592.857,607.143,477.063,722.937,86.8927,100.0,-1.46259,0.0,1.94694,177.01,592.857,607.143,477.063,722.937,86.8927,96.5,-1.46259,0.0,1.94694,177.01,592.857,607.143,477.063,722.937,86.8927,96.5,-1.46259,700.921,2.08072,185.458,590.087,609.913,502.564,697.436,86.8927,96.5,-1.78398,317.51,2.17996,190.863,584.754,615.246,521.249,678.751,86.8927,96.5,-1.97135,387.66,2.25894,195.565,579.282,620.718,536.245,663.755,86.8927,96.5,-2.08437,48.7252,2.27009,197.017,578.999,621.001,538.857,661.143,86.8927,96.5,-2.1047,111.62,2.29112,199.881,578.452,621.548,543.888,656.112,86.8927,96.5,2.29112
-2.69846,221.526,-2.61373,184.163,562.338,637.662,711.074,488.926,84.4382,96.5,-2.69846,261.151,-2.61373,184.163,562.338,637.662,711.074,488.926,84.4382,93.0,-2.69846,296.298,-2.61373,184.163,562.338,637.662,711.074,488.926,84.4382,93.0,-2.69846,682.086,-2.73121,183.601,581.849,618.151,720.335,479.665,84.4382,93.0,-2.7847,601.332,-2.86317,186.02,603.972,596.028,730.835,469.165,84.4382,93.0,-2.88089,191.631,-2.92851,188.467,615.242,584.758,736.183,463.817,84.4382,93.0,-2.92872,205.311,-2.97683,190.849,623.796,576.204,740.243,459.757,84.4382,93.0,-2.96433,0.0,-2.98181,191.123,624.689,575.311,740.667,459.333,84.4382,93.0,-2.96801,0.0,-2.98181,191.123,624.689,575.311,740.667,459.333,84.4382,93.0,-2.96801,0.0,-2.98181,191.123,624.689,575.311,740.667,459.333,84.4382,93.0,-2.98181
3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03298,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,3.03636,0.0,2.52154,473.724,703.494,496.506,797.579,402.421,81.9837,93.0,2.52154
2.85166,71.5352,2.8405,223.879,792.653,407.347,765.986,434.014,81.9837,89.5,2.8405,141.268,2.81834,217.142,797.252,402.748,764.578,435.422,81.9837,89.5,2.81834,199.991,2.78542,206.79,802.748,397.252,759.554,440.446,81.9837,89.5,2.78542,200.0,2.75399,195.523,807.104,392.896,753.643,446.357,81.9837,89.5,2.75399,200.0,2.71498,180.842,811.467,388.533,745.672,454.328,81.9837,89.5,2.71498,200.0,2.6427,155.987,817.536,382.464,731.799,468.201,81.9837,89.5,2.6427,200.0,2.59722,141.603,820.396,379.604,723.591,476.409,81.9837,89.5,2.59722,200.0,2.5548,129.331,822.509,377.491,716.491,483.509,81.9837,89.5,2.5548,200.0,2.5049,123.808,824.508,375.492,708.344,491.656,81.9837,89.5,2.5049,150.0,2.45782,121.229,827.483,372.517,702.77,497.23,81.9837,89.5,2.45782
1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,1.90911,0.0,2.06015,521.757,888.745,311.255,657.295,542.705,81.0018,86.0,2.06015
1.95964,27.3568,1.95964,208.491,943.825,256.175,687.837,512.163,76.3873,86.0,1.95964,79.6292,1.95964,208.491,943.825,256.175,687.837,512.163,76.3873,86.0,1.95964,0.0,1.95964,208.491,943.825,256.175,687.837,512.163,76.3873,86.0,1.95964,0.0,1.95964,208.491,943.825,256.175,687.837,512.163,76.3873,86.0,1.95964,0.0,1.95964,208.491,943.825,256.175,687.837,512.163,76.3873,86.0,1.95964,702.869,1.84071,195.892,939.698,260.302,661.029,538.971,75.0127,86.0,1.84071,0.0,1.84071,195.892,939.698,260.302,661.029,538.971,75.0127,86.0,1.84071,0.0,1.84071,195.892,939.698,260.302,661.029,538.971,75.0127,86.0,1.84071,0.0,1.84071,195.892,939.698,260.302,661.029,538.971,75.0127,86.0,1.84071,0.0,1.84071,195.892,939.698,260.302,661.029,538.971,75.0127,96.0,1.84071
2.04169,1250.39,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409,0.0,2.03409,294.81,1014.63,185.368,740.545,459.455,72.5582,92.5,2.03409
2.20407,204.52,2.16645,676.01,987.811,212.189,791.319,408.681,72.5582,89.0,2.22725,301.551,2.18018,677.069,983.418,216.582,799.572,400.428,72.5582,89.0,2.2579,209.495,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,0.0,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,0.0,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,0.0,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,0.0,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,0.0,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,0.0,2.18969,677.879,980.368,219.632,805.304,394.696,72.5582,89.0,2.27898,65.4506,2.19277,677.696,979.007,220.993,806.893,393.107,72.5582,89.0,2.19277
2.72752,0.0,-2.86685,121.058,883.264,316.736,818.638,381.362,72.5582,80.5,2.731,0.0,-2.86685,121.058,883.264,316.736,818.638,381.362,72.5582,80.5,2.731,0.0,-2.86685,121.058,883.264,316.736,818.638,381.362,72.5582,80.5,2.731,0.0,-2.86685,121.058,883.264,316.736,818.638,381.362,72.5582,80.5,2.731,0.0,-2.86685,121.058,883.264,316.736,818.638,381.362,72.5582,80.5,2.731,71.4248,-2.85112,122.65,880.98,319.02,819.632,380.368,72.5582,80.5,2.7511,138.07,-2.82349,125.553,876.838,323.162,821.375,378.625,72.5582,80.5,2.78732,150.0,-2.7909,129.112,871.751,328.249,823.374,376.626,72.5582,80.5,2.8313,0.0,-2.7909,129.112,871.751,328.249,823.374,376.626,72.5582,80.5,2.8313,0.0,-2.7909,129.112,871.751,328.249,823.374,376.626,72.5582,77.5,-2.7909
2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78388,0.0,2.27112,563.211,858.871,341.129,775.013,424.987,72.5582,77.5,2.78226,78.4835,2.27579,561.746,856.056,343.944,776.071,423.929,72.5582,77.5,2.27579
3.05589,0.0,2.32304,570.168,844.536,355.464,801.624,398.376,72.5582,77.5,3.05589,146.562,2.28326,559.859,851.897,348.103,778.022,421.978,72.5582,77.5,3.05589,190.265,2.27723,562.163,855.849,344.151,776.955,423.045,72.5582,77.5,3.05589,69.946,2.26848,565.031,861.224,338.776,775.042,424.958,72.5582,77.5,3.05589,20.8548,2.26164,566.341,864.706,335.295,772.907,427.093,72.5582,77.5,3.05589,161.662,2.24937,569.644,871.674,328.326,769.595,430.405,72.5582,77.5,3.05589,83.862,2.24146,571.285,875.771,324.229,767.1,432.9,72.5582,77.5,3.05589,122.412,2.2395,576.765,880.767,319.233,769.618,430.382,72.5582,77.5,3.05589,99.6665,2.24043,571.233,876.097,323.903,766.606,433.394,72.5582,77.5,3.05589,41.0911,2.23935,572.022,877.098,322.902,766.612,433.388,72.5582,77.5,2.23935
0.956546,11.2168,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,0.0,2.3001,559.687,845.546,354.454,784.99,415.01,72.5582,80.5,0.956546,223.735,2.31126,560.613,842.043,357.957,790.248,409.752,72.5582,80.5,0.956546,634.844,2.34781,559.124,826.884,373.116,804.073,395.927,72.5582,80.5,2.34781
2.89997,1130.39,-3.12639,320.09,423.355,776.645,732.094,467.906,72.5582,73.5,2.89997,562.153,-3.12828,282.938,424.456,775.544,694.954,505.046,72.5582,73.5,2.89997,862.506,-3.12887,256.202,424.964,775.036,668.222,531.778,72.5582,73.5,2.89997,936.274,-3.12115,227.845,423.565,776.435,639.839,560.161,72.5582,73.5,2.89997,82.5332,-3.12411,225.145,424.288,775.712,637.152,562.848,72.5582,73.5,2.89997,0.0,-3.12411,225.145,424.288,775.712,637.152,562.848,72.5582,73.5,2.89997,0.0,-3.12411,225.145,424.288,775.712,637.152,562.848,72.5582,73.5,2.89997,0.0,-3.12411,225.145,424.288,775.712,637.152,562.848,72.5582,73.5,2.89997,0.0,-3.12411,225.145,424.288,775.712,637.152,562.848,72.5582,73.5,2.82012,0.0,-3.12411,225.145,424.288,775.712,637.152,562.848,72.5582,66.5,-3.12411
0.821439,0.0,1.82708,141.229,564.839,635.161,447.841,752.159,72.5582,48.5,0.821439,35.9552,1.8263,140.832,564.483,635.517,447.634,752.366,72.5582,48.5,0.821439,0.0,1.82691,141.147,564.765,635.235,447.796,752.204,72.5582,48.5,0.821439,36.4807,1.82777,140.662,564.266,635.734,447.791,752.209,72.5582,48.5,0.821439,0.0,1.82914,140.598,564.155,635.845,447.961,752.039,72.5582,48.5,0.821439,38.0359,1.8289,140.388,563.96,636.04,447.876,752.125,72.5582,48.5,0.821439,0.0,1.82911,140.298,563.866,636.134,447.88,752.12,72.5582,48.5,0.821439,36.4011,1.82816,139.753,563.372,636.628,447.613,752.387,72.5582,48.5,0.821439,0.0,1.82789,139.531,563.167,636.833,447.52,752.48,72.5582,48.5,0.821439,35.2043,1.82703,139.055,562.737,637.263,447.283,752.717,72.5582,48.5,1.82703
-1.06319,1440.82,1.90052,336.941,747.013,452.987,521.137,678.863,72.5582,41.5,-1.06319,803.355,1.91165,376.849,783.391,416.609,538.02,661.98,72.5582,41.5,-1.06319,1666.55,1.94229,435.519,834.032,365.968,570.139,629.861,72.5582,41.5,-1.06319,1068.42,1.9707,472.147,863.116,336.884,595.864,604.136,72.5582,41.5,-1.06319,984.268,1.9998,508.417,890.566,309.434,623.526,576.474,72.5582,41.5,-1.06319,223.559,2.0141,534.099,910.696,289.304,641.13,558.87,72.5582,41.5,-1.06319,584.344,2.02655,555.573,927.087,272.913,656.572,543.428,72.5582,41.5,-1.06319,425.722,2.03641,573.899,941.028,258.972,669.704,530.296,72.5582,41.5,-1.06319,166.932,2.03883,578.598,944.597,255.403,673.066,526.934,72.5582,41.5,-1.06319,38.8589,2.03943,579.767,945.483,254.517,673.901,526.099,72.5582,41.5,2.03943
2.13556,600.0,2.09372,389.916,766.031,433.969,606.772,593.228,72.5582,41.5,2.12945,600.0,2.09131,364.834,744.739,455.261,593.483,606.517,72.5582,41.5,2.12945,600.0,2.08783,333.999,718.564,481.436,577.138,622.862,72.5582,41.5,2.12945,600.0,2.0854,315.514,702.873,497.127,567.335,632.665,72.5582,41.5,2.1264,600.0,2.08265,296.486,686.71,513.29,557.258,642.742,72.5582,41.5,2.1264,600.0,2.07972,278.396,671.337,528.663,547.686,652.314,72.5582,41.5,2.1264,600.0,2.07458,251.18,648.196,551.804,533.297,666.703,72.5582,41.5,2.07458,600.0,2.07,220.967,622.224,577.776,517.823,682.177,72.5582,41.5,2.07,346.22,2.01175,191.474,601.381,598.619,493.763,706.237,72.5582,41.5,2.01175,451.718,1.86798,156.431,577.797,622.203,457.849,742.151,72.5582,41.5,1.86798
0.240818,31.9473,1.84194,327.83,736.384,463.616,578.352,621.648,100.0,90.0,0.243189,53.8424,1.84192,328.086,736.633,463.367,578.413,621.587,100.0,90.0,0.24656,0.0,1.84192,328.086,736.633,463.367,578.413,621.587,100.0,90.0,0.24656,64.2907,1.84177,330.15,738.635,461.365,578.917,621.083,100.0,90.0,0.273714,107.806,1.8418,333.105,741.48,458.52,579.718,620.282,100.0,90.0,0.312561,51.6949,1.84209,334.465,742.763,457.237,580.177,619.823,100.0,85.0,0.330474,0.0,1.8422,334.623,742.906,457.094,580.255,619.745,100.0,85.0,0.332575,0.0,1.8422,334.623,742.906,457.094,580.255,619.745,100.0,85.0,0.332575,0.0,1.8422,334.623,742.906,457.094,580.255,619.745,100.0,85.0,0.332575,45.4048,1.84239,335.67,743.898,456.102,580.598,619.402,100.0,85.0,1.84239
0.829433,1243.75,1.45439,379.935,895.0,305.0,584.944,615.056,95.0,85.0,1.20788,1241.33,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,12.4386,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,57.021,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,101.357,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,0.0,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,0.0,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,0.0,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,0.0,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.36099,0.0,1.50617,444.447,961.156,238.844,600.366,599.634,95.0,85.0,1.50617
1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.56157,0.0,1.61964,429.12,946.244,253.756,650.022,549.978,92.5,80.0,1.61964
-2.81785,265.764,2.66419,464.376,633.899,566.101,903.003,296.997,92.5,73.0,-2.81785,323.283,2.64996,458.105,636.787,563.213,894.395,305.605,92.5,73.0,-2.81785,404.41,2.62388,447.274,641.883,558.117,879.208,320.792,92.5,73.0,-2.81785,484.089,2.59159,434.95,647.875,552.125,861.352,338.648,92.5,73.0,-2.81785,554.239,2.55718,423.013,653.914,546.086,843.354,356.646,92.5,73.0,-2.81785,210.592,2.54243,418.247,656.402,543.598,835.94,364.06,92.5,68.0,-2.81785,56.764,2.53885,417.119,656.998,543.002,834.163,365.837,92.5,68.0,-2.81785,0.0,2.53885,417.119,656.998,543.002,834.163,365.837,92.5,68.0,-2.81785,289.116,2.52089,411.005,659.574,540.426,824.888,375.112,92.5,68.0,-2.81785,248.131,2.49165,401.772,663.659,536.341,810.406,389.594,92.5,68.0,2.49165
